,index,utterance,intentClass
332,332,OMG,O
333,333,EZ,I
334,334,report invo,A
335,335,ez,I
336,336,u got an alright lineup all things considered [SEPA] also lina [SEPA] didnr random,O
337,337,?,O
338,338,[SEPA] very ez,I
339,339,that happens you play pos 5 visage.,O
340,340,how long time?,O
341,341,,O
342,342,qop are u dumb?,E
343,343,why me huskar [SEPA] Im just rubick,O
344,344,a fantastic game,I
345,345,LOL,O
346,346,Your autistic :_),O
347,347,pugna [SEPA] ward next time,O
348,348,funny,O
349,349,ez,I
350,350,ez -25,I
351,351,u can ban wtf,O
352,352,like please,O
353,353,who's talking [SEPA] i got that shit muted too [SEPA] oh yellow [SEPA] rofl,E
354,354,everyone has enough farm dude,O
355,355,he's crying carry is stealing his farm,I
356,356,hahaha [SEPA] that was.... [SEPA] my dagon is lick a dildo [SEPA] straight in the,O
357,357,:D,O
358,358,me too,O
359,359,report this fucking legion,E
360,360,noobs [SEPA] reported dazzle,E
361,361,fck,O
362,362,ill make greeves,O
363,363,attaturk shit,E
364,364,can u guys make the match more excited?,O
365,365,reported wr [SEPA] idiot,E
366,366,[SEPA] fail mid,I
367,367,ah u didnt know,O
368,368,?,O
369,369,u failed [SEPA] is what is going on,O
370,370,Ez rune,I
371,371,HAha,O
372,372,*quelling,O
373,373,EZ MID,I
374,374,?,O
375,375,lol [SEPA] OK,O
376,376,ARE YOU really 6k player,O
377,377,noob spec,E
378,378, [SEPA] cmon... ,O
379,379,sry,O
380,380,poor network,O
381,381,gg wp,O
382,382,;),O
383,383,U our storm? [SEPA] its a miracle we won this,O
384,384,EZ [SEPA] 0 4,I
385,385,1k mmr dumb shit [SEPA] Freaking dumb shit reportt axe [SEPA] end plz,E
386,386,omg comeback,O
387,387,like this never happened to me before [SEPA] missclick a hero in pickphase,O
388,388,pls report doom [SEPA] this idiot has never fought with us,E
389,389,that bitch [SEPA] too early too say ez,E
390,390,rofl,O
391,391,lol [SEPA] can't kill a supp?,O
392,392,can let me surivive first?,O
393,393,gg,O
394,394,ez game,I
395,395,going to continue [SEPA] or can you play?,A
396,396,yeah :P But you guys didnt feed me that much :P,O
397,397,WHY [SEPA] SO,O
398,398,GGwp,O
399,399,hehe,O
400,400,"lol, i like the doom talking shit after being fed by the noob ds [SEPA] typical trash :)",E
401,401,scared,O
402,402,wp,O
403,403,is it made from a potato,O
404,404,Gg,O
405,405,look at these heroes [SEPA] does anyone have fun [SEPA] anymore,O
406,406,cannot leave sry,O
407,407,WOOW,O
408,408,commend legion$,A
409,409,not top,O
410,410,lich what happen to pa [SEPA] he's okay,O
411,411,^_^,O
412,412,stop killing me,O
413,413,liar,O
414,414,w8,A
415,415,YOU WAIT FOR AA?,A
416,416,tACTICAL AFK [SEPA],A
417,417,SUpport alchemiST? [SEPA] AlchEMist BRO u OK? [SEPA] AlcheMIst Dont SHy? [SEPA] Talk?~,O
418,418,nc game,O
419,419,WTFF [SEPA] HAHAHAHAHA [SEPA] omggg [SEPA] u just made me,O
420,420,i sitll urge you all to report ember,A
421,421,go [SEPA] hhaha [SEPA] Bye,O
422,422,easiest bate of my life,I
423,423,ALCHE 0 /13,I
424,424,uz it works,O
425,425,2 ez,I
426,426,this is sparTA D:D:D:D,O
427,427,yes [SEPA] ty [SEPA] my crit hack is on point :),O
428,428,ohoy,O
429,429,worthit,O
430,430,id tap that,O
431,431,astack [SEPA] DC [SEPA] mag,O
432,432,good game will fucked!,E
433,433,"solo mid sd, him [SEPA] he said we are 4k trash",E
434,434,of cur,O
435,435,really i miss u,O
436,436,anime loving cunt team [SEPA] gutta luv it,E
437,437,fuck peru,E
438,438,there we go [SEPA] wp,O
439,439,ez breezy [SEPA] suchtryhard [SEPA] silencer,I
440,440,HABLA BIEN BURRO,O
441,441,come doom doom me,O
442,442,lol [SEPA] threow,O
443,443,jajaja,O
444,444,def,O
445,445,lol [SEPA] Ty,O
446,446,oks [SEPA] c:,O
447,447,en late game min 38 sacas dagon sky noob,E
448,448,next time [SEPA] i have iy [SEPA] it,O
449,449,XD,O
450,450,noob pl,E
451,451,loooooooool i wanted lc x-d [SEPA] le epig missclick,O
452,452,haha,O
453,453,:D,O
454,454,lel,O
455,455,y [SEPA] its 2k wk [SEPA] he understand [SEPA],I
456,456,Sure,O
457,457,lmao,O
458,458,i can see you riki,O
459,459,ahahaha,O
460,460,Rtc? [SEPA] ti 5?,O
461,461,noob sf,E
462,462,hes an ..,O
463,463,<3,O
464,464,wp,O
465,465,sad man,O
466,466,I am going to titty fuck you Crystal Maiden with my woodden cock,E
467,467,this invo,O
468,468,no use,O
469,469,nice aggro lane [SEPA] hate assholes like you guys who go easy dual lanes and think they can jsut win,E
470,470,easy,O
471,471,more practice,O
472,472,early ?,O
473,473,and you lest your cum in there? [SEPA] are you a faggot,E
474,474,game losing miss,O
475,475,tfw we must punish him ,O
476,476,ok mega cree bot goo,O
477,477,Rofl,O
478,478,we have to go now [SEPA] sorry,O
479,479,gyro pls dont try your team suck,E
480,480,sir rubick me killed agagin [SEPA] can report?,A
481,481,you just left them at rune,O
482,482,ghg,O
483,483,u almost got me [SEPA] couz i was watching [SEPA] [SEPA] haha,O
484,484,you unpaused rubick,A
485,485,wp,O
486,486,lol,O
487,487,ahha,O
488,488,2/8 d,E
489,489,w.e u say,O
490,490,?,O
491,491,GG,O
492,492,yeah [SEPA] '322',O
493,493,,O
494,494,where is he?,O
495,495,rapier,O
496,496,sec,O
497,497,report,A
498,498,loL!,O
499,499,feel,O
500,500,for mk,O
501,501,rip in peppers,O
502,502,gg,O
503,503,NOB TEAM,O
504,504,:D,O
505,505,bye,O
506,506,nice bash,O
507,507,wow [SEPA] brown,O
508,508,you are just an ass voker,E
509,509,EZI ES,I
510,510,nice.... [SEPA] pc freeze..,O
511,511,necor idiot as fuck,E
512,512,hehehe,O
513,513,sad,O
514,514,gg,O
515,515,rekt,O
516,516,100 Gs cmon,O
517,517,EVERYONE DESD,O
518,518,swap :(,O
519,519,w8 bart,A
520,520,gg,O
521,521,WOW,O
522,522,enigMa [SEPA] noob [SEPA] u suck,E
523,523,report clock [SEPA] fed offlane,A
524,524,lol,O
525,525,GG,O
526,526,AWWW [SEPA] its ok,O
527,527,gg,O
528,528,whine more guys,O
529,529,S OpieOP,O
530,530,commend me,A
531,531,gg [SEPA] wipe,O
532,532,report pudge,A
533,533,would be surprising if didnt,O
534,534,haha,O
535,535,he was fb,E
536,536,kkk,O
537,537,ok ty,O
538,538,ta [SEPA] u fking godd,E
539,539,GGWP [SEPA] GGWP,O
540,540,got two gems,O
541,541,got wrong? [SEPA] u dont need to die? [SEPA] dumb fuck,E
542,542,? [SEPA] Stop,O
543,543,HEY [SEPA] U OKAY? [SEPA] HEY [SEPA] EZ? [SEPA] I WANT MORE,I
544,544,gl boy,O
545,545,endead [SEPA] def ?,O
546,546,ez,I
547,547,fuck u sylla [SEPA] Ur moving paterns are weird af,E
548,548,gg,O
549,549,lol,O
550,550,scored:(,O
551,551,ggwp,O
552,552,good build [SEPA] the stuns,O
553,553,Daun [SEPA] na weavere [SEPA] i venge [SEPA] prosto ebanutie [SEPA] lsi ebanie,O
554,554,we wait,A
555,555,what a little bitch,E
556,556,What is wrong with you guys,O
557,557,"say ty to doom for the win, calling forced fights and engagments [SEPA] as well as going afk/feeding [SEPA] i had him on mute list before game, always does this stuff",O
558,558,hahahaahah,O
559,559,not bad,O
560,560,lol the lucky bashes,O
561,561,so unpause [SEPA] u fuq [SEPA] tyu [SEPA] omfg,E
562,562,oh sorry [SEPA] i'm just 3k [SEPA] sorry 4k6 mmr,O
563,563,tele,O
564,564,Reportd mid plz [SEPA] Noooob,E
565,565,2 trolls,O
566,566,la,O
567,567,HAHAHA,O
568,568,report wr,A
569,569,TY,O
570,570,?,O
571,571,go [SEPA] doom help me,O
572,572,gg,O
573,573,but what if you're both right?,O
574,574,end please [SEPA] end please [SEPA] end please,O
575,575,dead [SEPA] bitch,E
576,576,gg [SEPA] really,O
577,577,gg wp,O
578,578,easy,O
579,579,wtf [SEPA] haha,O
580,580,now smoke price increase le,O
581,581,EXCUSE HIM,O
582,582,report ursa,A
583,583,please report this WK,A
584,584,booya,O
585,585,nice rage fckin fag,E
586,586,this xD,O
587,587,ROFL [SEPA] nice rp btw [SEPA] just got us on the rim,O
588,588,i starting hate u more and more,O
589,589,lol,O
590,590,No Today [SEPA] :,O
591,591,from now 4 mns,O
592,592,1/4 games in SEA,O
593,593,Oryou are at home,O
594,594,+ [SEPA] )) [SEPA] ))) [SEPA] ))),O
595,595,idiot team,E
596,596,like your father,O
597,597,gg wp,O
598,598,i didnt say we will lose,O
599,599,i love me some slardar,O
600,600,FIGHT PA,O
601,601,end it,O
602,602,miss bro jajajaja,O
603,603,mlg,O
604,604,more [SEPA],O
605,605,lol,O
606,606,watch him on watafak 149,O
607,607,rekt [SEPA] rofl,O
608,608,gg [SEPA] let it end,O
609,609,lol,O
610,610,go mid [SEPA] we cant defend,O
611,611,i picked qop to counter you,O
612,612,pick fucking damn hero like my team [SEPA] shit pick it doesn't enough but shit play is idiot,E
613,613,told u guys dont mention him idiot spoterd [SEPA] *spotted,E
614,614,wp,O
615,615,gg,O
616,616,thank u,O
617,617,2bad,O
618,618,TAKE IT MORE,O
619,619,GGWP,O
620,620,lol,O
621,621,Gg,O
622,622,LIAR FRIENND,O
623,623,ez,I
624,624,gg,O
625,625,End,O
626,626,xD,O
627,627,am eat my fucking shit [SEPA] jummy jummy [SEPA],E
628,628,well [SEPA] its more [SEPA] the dazzle,O
629,629,gonna safe,O
630,630,wp [SEPA] wipe,O
631,631,omg [SEPA] maibe push?,I
632,632,RLY [SEPA] look at these scrubs [SEPA] then complain,O
633,633,ez qop to kill [SEPA] haha nap mid ez mmr,I
634,634,AND HE'S BAD,O
635,635,lol,O
636,636,+,O
637,637,TA mid rape EZ,E
638,638,i feel u [SEPA] :(,O
639,639,58 ez? u mom teach u?,E
640,640,...,O
641,641,ez,I
642,642,gg,O
643,643,555,O
644,644,yeah [SEPA] gg wp,O
645,645,hahahahaa,O
646,646,return my 2012,O
647,647,0-0,O
648,648,LOLOLOL,O
649,649,??,O
650,650,SO EZ [SEPA] AM USELESS [SEPA] GO quit dota 2,I
651,651,ho ho,O
652,652,68 [SEPA] XD,O
653,653,jugg having a cry,O
654,654,wasted ulti,O
655,655,Ez,I
656,656,< [SEPA] rip,O
657,657,i died inside long time ago,O
658,658,his father was a cow farmer...,O
659,659,nightmares,O
660,660,i have sniper offlane,O
661,661,ggwp,O
662,662,^^,O
663,663,SORRY QOP,O
664,664,30s cd?,O
665,665,TRUE,O
666,666,my bad,O
667,667,GG,O
668,668,sorry [SEPA] can't buy items chat,O
669,669,i am 22 13 [SEPA] reprot pudge [SEPA] [SEPA] 1 11,I
670,670,aw,O
671,671,so close,O
672,672,gg wp,O
673,673,enigma ftw,I
674,674,lo [SEPA] fight me?,O
675,675,fucking alch,E
676,676,hahaha,O
677,677,gg,O
678,678,LOL THIS PUDGE,O
679,679,If i had fallout 4 I would not be here,O
680,680,dA BB [SEPA] GERAL TEM [SEPA] tnc,O
681,681,ggwp,O
682,682,mineski will be there [SEPA] korea dota ggggg,E
683,683,<3,O
684,684,not my problem,O
685,685,sry,O
686,686,Weird,O
687,687,Dead,O
688,688,lol,O
689,689,come come [SEPA] end !,O
690,690,hyung whats happening to mvp,O
691,691,its ok i had fun hooking u guys,O
692,692,2 mint,O
693,693,they r just stupids [SEPA] putting the blame,E
694,694,end thx,O
695,695,lol [SEPA] the throws are real rofl,O
696,696,es ahahahah [SEPA] nice ult,O
697,697,EZ mid,I
698,698,1000,O
699,699,he didnt [SEPA] stop lying,O
700,700,food,O
701,702,ye lol,O
702,703,af [SEPA] mi rampage =S [SEPA] √áfuck slardar,E
703,704,don't do it or he might cleave you to death,O
704,705,gg [SEPA] finish,O
705,706,peneoise/ [SEPA] listen to urself,O
706,707,[SEPA] commend LORc [SEPA] LORD,A
707,708,gg,O
708,709,no,O
709,710,ahahaha,O
710,711,idiot!,E
711,712,SPECTRE [SEPA] BLASPHEMY,O
712,713,too good to play dota this sniper,O
713,714,D,O
714,715,alr 2 min?,O
715,716,he is reconnecting,A
716,717,jajahaha,O
717,718,of ur typical pub safelane is [SEPA] i bet its 30,O
718,719,this doom is 2k [SEPA] i can guarantee,I
719,720,ive commended,A
720,721,what is that lesh set from?,O
721,722,we need sentries rather than dust,O
722,723,gg,O
723,724,ez mmrt,I
724,725,}gg wagon,O
725,726,husk,O
726,727,gg wp,O
727,728,From *,O
728,729,PogChamp alliance is back,O
729,730,good skill,O
730,731,ka bu tooooooooooooo,O
731,732,ban' me [SEPA] im scared,E
732,733,end pls [SEPA] toxic team,E
733,734,"lol these 3 eggs [SEPA] these eggs are tsuyuyuy,tsokotomotoko.",O
734,735,like i gonna win it now ?,O
735,736,lol,O
736,737,y because i am right,O
737,738,10min please [SEPA] bush did 420,O
738,739,??,O
739,740,gg wp,O
740,741,es ?,O
741,742,FF [SEPA] report storm and doom,A
742,743,shut up,E
743,744,lollllllllllllllllll,O
744,745,his know snow,I
745,746,sk was fine,O
746,747,ez friend [SEPA] (:,I
747,748,idk but i get help [SEPA] 1-10-3 [SEPA] 1-6-5,I
748,749,yeah fun,O
749,750,),O
750,751,WOWO,O
751,752,and then we just started fighting like gods,O
752,753,kk [SEPA] [SEPA] g,A
753,754,gg wp,O
754,755,hahahahah [SEPA] HAHAHAHAH [SEPA] HAHAHAHHAHAHA [SEPA] HAHAHAHAHAHAH [SEPA] HAHAHAHAH,O
755,756,ggwp,O
756,757,wait?,A
757,758,ya [SEPA] lol see items,O
758,759,hahaha,O
759,760,:/,O
760,761,panic ward?,O
761,762,see that ?,O
762,763,ADBOYS,O
763,764,report slark,A
764,765,wp wp,O
765,766,we got shit on top,E
766,767,Farm for notthing [SEPA] ez mid [SEPA] ez win,I
767,768,good deal,O
768,769,gg wp!,O
769,770,fedeer,I
770,771,HAHA,O
771,772,hi there,O
772,773,kay,O
773,774,hi,O
774,775,nah [SEPA] idont thin kso,O
775,776,eu vi [SEPA] tanto q deram [SEPA] tnc [SEPA] vai se fude [SEPA] mlk 7.1,O
776,777,what was that?,O
777,778,echo?,O
778,779,err?,O
779,780,No me no game lol,O
780,781,FUCKING NOOB,E
781,782,any item?,O
782,783,lol,O
783,784,nice,O
784,785,HAHAHAHA [SEPA] EZ MID [SEPA] FOR YOU ALCHE,I
785,786,DDD [SEPA] gg,O
786,787,you died 11 times [SEPA] mostly duel,I
787,788,stupid caught up,E
788,789,ez wisp,I
789,790,super lag,O
790,791,CHINESE QOP,E
791,792,ggwp,O
792,793,ebalo [SEPA] shdi davay,O
793,794,end fast pls [SEPA] report blood [SEPA] para q no les toque [SEPA] en su ranked,A
794,795,poor cap,O
795,796,are you trying to make me laugh [SEPA] ? [SEPA] coz its working pretty well,O
796,797,idiot am,E
797,798,w8,A
798,799,he dead already,O
799,800,comend me now?,A
800,801,fuck mana burn,E
801,802,pause plz [SEPA] he speack with me,A
802,803,awkawkaw,O
803,804,ppl got shitty pcs,E
804,805,unpause [SEPA] long,A
805,806,no,O
806,807,LOL,O
807,808,IKR [SEPA] is a play here,I
808,809,WOW,O
809,810,sry,O
810,811,but true [SEPA] and idgaf cuz im not pinoy ^^,E
811,812,nice block [SEPA] es,O
812,813,probably not tholugh,O
813,814,gg,O
814,815,rofl [SEPA] all lanes won [SEPA] cause of u eniggerma [SEPA] so dont be smartass,O
815,816,?,O
816,817,wp radiant,O
817,818,wagger some mitches,O
818,819,???,O
819,820,haah,O
820,821,nyx reported for being cancer,A
821,822,SOOOOOOOOOOOOOOOOBAD,O
822,823,pudge? [SEPA] U OK CHAMP?,O
823,824,ez,I
824,825,report slark,A
825,826,abba plsss,O
826,827,how did this trash undying win [SEPA] using tombstone so shit [SEPA] playing os bad [SEPA] feeding in lane [SEPA] still wins [SEPA] dota is legit game [SEPA] i do everything right [SEPA] i get shit mid [SEPA] being uselsss and feeding [SEPA] and jugg without dmg,E
827,828,delay,O
828,829,wait please,A
829,830,nice aggro lane you fuck,E
830,831,gg,O
831,832,report sky,A
832,833,report ta plz,A
833,834,pudge go home,O
834,835,:DDDDDDDDDDD [SEPA] RLY [SEPA] ?,O
835,836,?,O
836,837,nigga,E
837,838,=.=,O
838,839,28 demage for 30 min [SEPA] u kidding me LC,O
839,840,lol [SEPA] paper,O
840,841,LOL wtf,O
841,842,aahaha [SEPA] wow [SEPA] faggot :D,E
842,843,wait for enigma's ult,A
843,844,noob,E
